Player,Scores
Maurice Harkless\harklma01,18.58138570078362
Johnathan Motley\motlejo01,18.582200227662216
Abdel Nader\naderab01,18.587684019871023
Jonah Bolden\boldejo01,18.598173128260846
Derrick Walton\waltode01,18.607467665939502
Matt Thomas\thomama02,18.63024086587086
Vlatko Čančar\cancavl01,18.63629024502162
Amile Jefferson\jeffeam01,18.66803071744748
Tyler Cook\cookty01,18.675892136780085
Derrick Walton\waltode01,18.675892136780085
Kelly Olynyk\olynyke01,18.682768059329128
Evan Turner\turneev01,18.6966268430482
Ky Bowman\bowmaky01,18.700435439706617
Wenyen Gabriel\gabriwe01,18.700813656254635
D'Angelo Russell\russeda01,18.709817786348808
Sterling Brown\brownst02,18.71286691722207
Tim Hardaway Jr.\hardati02,18.71286691722207
Bryn Forbes\forbebr01,18.714026383085475
Jevon Carter\carteje01,18.727379660780006
Keldon Johnson\johnske04,18.735875694131384
Jordan McRae\mcraejo01,18.737830946817283
Anthony Tolliver\tollian01,18.743791713672195
Michael Frazier\frazimi01,18.744530666086018
Troy Daniels\danietr01,18.747261005892643
Paul Watson\watsopa01,18.747261005892643
Joe Ingles\inglejo01,18.755987051721032
Victor Oladipo\oladivi01,18.755987051721032
Doug McDermott\mcderdo01,18.768516185664858
Kemba Walker\walkeke02,18.773163319863986
Kenrich Williams\willike04,18.774617719706168
Anžejs Pasečņiks\pasecan01,18.778136017476747
J.R. Smith\smithjr01,18.788115815580007
Brad Wanamaker\wanambr01,18.79790283758777
Louis King\kinglo02,18.80664758526206
Omari Spellman\spellom01,18.81003510706762
Dante Exum\exumda01,18.822236278710733
Eric Gordon\gordoer01,18.84039529007088
DeMarre Carroll\carrode01,18.841218132341428
Garrett Temple\templga01,18.84144313661626
Jeremy Pargo\pargoje01,18.84653643198512
Chimezie Metu\metuch01,18.854521359544428
Alen Smailagić\smailal01,18.854521359544428
Kevin Huerter\huertke01,18.864727419696585
Jordan McRae\mcraejo01,18.866765658703894
Terrence Ross\rosste01,18.868632974601127
Kadeem Allen\allenka01,18.868752774493704
Joe Harris\harrijo01,18.8817469589822
Džanan Musa\musadz01,18.894796904951637
Nigel Williams-Goss\willini01,18.910363912934333
Chris Chiozza\chiozch01,18.91562473961467
Jamal Murray\murraja01,18.91590809776478
Justin Wright-Foreman\wrighju02,18.922698370929503
Trey Burke\burketr01,18.928490745290016
Vince Carter\cartevi01,18.948275059996455
Devon Hall\hallde01,18.965276780614897
Quinn Cook\cookqu01,18.985391678782975
Bogdan Bogdanović\bogdabo01,18.98875951203089
Deonte Burton\burtode02,18.99632397334897
Dean Wade\wadede01,18.99632397334897
Matthew Dellavedova\dellama01,18.999617576050817
Devin Booker\bookede01,19.000507501580486
De'Andre Hunter\huntede01,19.000507501580486
B.J. Johnson\johnsbj01,19.00577420039021
Vic Law\lawvi01,19.02403340633307
Jaylen Hoard\hoardja01,19.029950647899124
Malik Beasley\beaslma01,19.038439241456732
Eric Paschall\pascher01,19.0447942435838
Edmond Sumner\sumneed01,19.044847811678434
Allonzo Trier\trieral01,19.055487261801417
Zach Norvell\norveza01,19.064890871598852
Devonte' Graham\grahade01,19.068538333498836
Jerian Grant\grantje02,19.07031360232654
Malcolm Miller\millema01,19.083934612570374
Alec Burks\burksal01,19.11166759552334
Mike Conley\conlemi01,19.119033582963397
Jarred Vanderbilt\vandeja01,19.141973153465134
Quinndary Weatherspoon\weathqu01,19.141973153465134
Alize Johnson\johnsal02,19.158690806395207
Rayjon Tucker\tuckera01,19.16011101144716
Dillon Brooks\brookdi01,19.160898595758397
Moses Brown\brownmo01,19.1737629135592
Iman Shumpert\shumpim01,19.194099605038062
Kevin Hervey\herveke01,19.194265659333794
James Ennis\ennisja01,19.20190334002182
Moritz Wagner\wagnemo01,19.20190334002182
Thanasis Antetokounmpo\antetth01,19.21020180514467
